"
","Day-ahead","Front Month","Front Quarter","Front Season","Second Season","Third Season","Fourth Season"
"01-06-2016",0.27,0.3,0.33,0.31,0.33,0.34,0.41
"01-07-2016",0.31,0.28,0.44,0.35,0.32,0.33,0.43
"01-08-2016",0.29,0.27,0.35,0.27,0.28,0.34,0.35
"01-09-2016",0.25,0.28,0.33,0.35,0.29,0.34,0.37
"01-10-2016",0.23,0.35,0.31,0.31,0.33,0.31,0.3
"01-11-2016",0.23,0.32,0.38,0.37,0.3,0.32,0.34
"01-12-2016",0.23,0.39,0.42,0.3,0.35,0.34,0.3
"01-01-2017",0.31,0.31,0.36,0.35,0.3,0.3,0.35
"01-02-2017",0.38,0.28,0.35,0.28,0.28,0.27,0.32
"01-03-2017",0.47,0.36,0.35,0.32,0.25,0.33,0.33
"01-04-2017",0.47,0.27,0.3,0.33,0.32,0.33,0.38
"01-05-2017",0.48,0.31,0.28,0.24,0.29,0.39,0.38
"01-06-2017",0.51,0.3,0.29,0.28,0.34,0.32,0.38
"01-07-2017",0.47,0.22,0.33,0.23,0.3,0.29,0.37
"01-08-2017",0.46,0.29,0.31,0.28,0.3,0.39,0.34
"01-09-2017",0.42,0.35,0.37,0.3,0.24,0.36,0.4
"01-10-2017",0.5,0.31,0.36,0.29,0.32,0.42,0.51
"01-11-2017",0.41,0.27,0.3,0.26,0.3,0.38,0.38
"01-12-2017",0.44,0.3,0.35,0.27,0.3,0.39,0.47
"01-01-2018",0.42,0.29,0.39,0.34,0.34,0.41,0.41
"01-02-2018",0.44,0.3,0.4,0.35,0.31,0.43,0.46
"01-03-2018",0.49,0.36,0.4,0.3,0.26,0.31,0.41
"01-04-2018",0.54,0.34,0.37,0.29,0.32,0.35,0.4
"01-05-2018",0.39,0.3,0.37,0.25,0.31,0.33,0.43
"01-06-2018",0.45,0.31,0.44,0.34,0.39,0.42,0.45
"01-07-2018",0.37,0.34,0.36,0.29,0.29,0.39,0.42
"01-08-2018",0.37,0.35,0.34,0.25,0.29,0.32,0.37
"01-09-2018",0.34,0.29,0.36,0.27,0.32,0.44,0.45
"01-10-2018",0.31,0.29,0.36,0.33,0.32,0.42,0.46
"01-11-2018",0.43,0.25,0.32,0.29,0.27,0.35,0.44
"01-12-2018",0.39,0.32,0.36,0.28,0.35,0.49,0.45
"01-01-2019",0.32,0.26,0.34,0.3,0.31,0.37,0.46
"01-02-2019",0.4,0.33,0.28,0.35,0.35,0.33,0.4
"01-03-2019",0.44,0.32,0.36,0.38,0.22,0.36,0.39
"01-04-2019",0.46,0.52,0.43,0.31,0.4,0.35,0.46
"01-05-2019",0.55,0.33,0.46,0.33,0.41,0.47,0.49
"01-06-2019",0.51,0.31,0.42,0.28,0.35,0.34,0.44
"01-07-2019",0.57,0.48,0.46,0.33,0.38,0.42,0.49
"01-08-2019",0.5,0.56,0.46,0.36,0.29,0.48,0.46
"01-09-2019",0.55,0.42,0.39,0.43,0.35,0.4,0.43
"01-10-2019",0.53,0.41,0.36,0.32,0.3,0.5,0.45
"01-11-2019",0.49,0.46,0.45,0.48,0.43,0.58,0.51
"01-12-2019",0.5,0.81,1.09,0.67,0.57,0.67,0.91
"01-01-2020",0.6,0.86,1.73,0.73,0.5,0.75,0.91
"01-02-2020",0.63,0.67,2.06,0.84,0.59,1.05,0.76
"01-03-2020",0.61,0.97,2.13,0.78,0.48,0.75,0.71
"01-04-2020",0.92,1.03,0.99,0.49,0.73,0.8,1.22
"01-05-2020",0.92,1.59,1.05,0.53,0.79,0.59,0.66
"01-06-2020",0.71,1.43,1.45,0.51,0.75,0.51,0.66
"01-07-2020",0.68,0.87,1.2,0.46,0.98,0.73,0.81
"01-08-2020",0.54,0.84,1.38,0.44,0.71,0.88,1.24
"01-09-2020",0.44,1.17,1.34,0.83,0.77,0.6,1.13
"01-10-2020",0.5,0.57,0.6,0.56,0.6,0.77,1.04
"01-11-2020",0.5,0.66,0.67,0.68,0.59,0.75,0.83
"01-12-2020",0.35,0.74,1.1,0.76,0.75,0.94,0.98
"01-01-2021",0.27,0.61,1.15,0.62,0.66,1.04,0.97
"01-02-2021",0.35,0.71,1.59,0.68,0.53,0.68,0.82
"01-03-2021",0.35,0.82,1.51,0.69,0.44,0.6,0.64
"01-04-2021",0.29,0.56,0.58,0.4,0.61,0.52,1.05
"01-05-2021",0.26,0.64,0.67,0.45,0.75,0.64,0.95
"01-06-2021",0.25,0.57,0.77,0.57,0.55,0.47,1.03
"01-07-2021",0.23,0.59,0.71,0.4,0.69,0.67,1.32
"01-08-2021",0.2,0.5,0.67,0.44,0.49,0.57,0.98
"01-09-2021",0.11,0.39,0.56,0.45,0.46,0.56,0.85
"01-10-2021",0.11,0.36,0.31,0.45,0.59,0.85,0.73
"01-11-2021",0.1,0.37,0.4,0.5,0.51,0.89,1.01
"01-12-2021",0.08,0.22,0.25,0.45,0.43,0.81,0.73
"01-01-2022",0.1,0.31,0.54,0.46,0.44,0.79,0.71
"01-02-2022",0.12,0.39,0.54,0.39,0.34,0.69,0.65
"01-03-2022",0.08,0.31,0.37,0.32,0.31,0.62,0.59
"01-04-2022",0.11,0.5,0.43,0.37,0.56,0.56,0.71
"01-05-2022",0.2,0.5,0.43,0.38,0.53,0.54,0.65
"01-06-2022",0.14,0.47,0.46,0.31,0.49,0.46,0.64
"01-07-2022",0.08,0.3,0.2,0.18,0.37,0.36,0.56
"01-08-2022",0.07,0.21,0.14,0.13,0.21,0.22,0.32
"01-09-2022",0.09,0.26,0.18,0.17,0.24,0.23,0.42
"01-10-2022",0.19,0.21,0.11,0.27,0.27,0.43,0.41
"01-11-2022",0.16,0.23,0.17,0.28,0.28,0.46,0.4
"01-12-2022",0.13,0.23,0.3,0.28,0.25,0.47,0.38
